Entity,Code,Year,Recycled,Incinerated,Littered and mismanaged,Landfilled,Annual plastic production between 1950 and 2019,Plastic leakage to aquatic envrionment - Leakage type: Accumulated stock in oceans
World,OWID_WRL,2000,5783667.0,16980004.0,40635292,92773420.0,213000000,8471748.0
World,OWID_WRL,2001,6529903.0,18570814.0,42657704,96065190.0,218000000,9153952.0
World,OWID_WRL,2002,7439750.0,20530800.0,45354524,100721944.0,231000000,9881777.0
World,OWID_WRL,2003,8383408.0,22507442.0,47831170,104927940.0,241000000,10656836.0
World,OWID_WRL,2004,9459860.0,24743732.0,50646040,109797350.0,256000000,11481840.0
World,OWID_WRL,2005,10492602.0,26828640.0,52868510,113526520.0,263000000,12356893.0
World,OWID_WRL,2006,11721061.0,29326584.0,55713400,118502810.0,280000000,13285542.0
World,OWID_WRL,2007,13053889.0,32007148.0,58640348,123696620.0,295000000,14270018.0
World,OWID_WRL,2008,13923892.0,33589484.0,59203064,124444250.0,281000000,15304404.0
World,OWID_WRL,2009,15146142.0,35934470.0,61048170,127749080.0,288000000,16390133.0
World,OWID_WRL,2010,16869304.0,39280410.0,64469760,134096890.0,313000000,17532564.0
World,OWID_WRL,2011,18445328.0,42217170.0,66824044,138479400.0,325000000,18731688.0
World,OWID_WRL,2012,19965052.0,45017956.0,68642050,142179760.0,338000000,19986928.0
World,OWID_WRL,2013,21606470.0,48097096.0,70545480,146396800.0,352000000,21299928.0
World,OWID_WRL,2014,23210076.0,51000892.0,72236270,149737840.0,367000000,22671212.0
World,OWID_WRL,2015,25171848.0,54338508.0,74248456,154542320.0,381000000,24102792.0
World,OWID_WRL,2016,27003764.0,57792816.0,75502930,159263970.0,400050000,25592508.0
World,OWID_WRL,2017,28954854.0,61498290.0,76795270,163771410.0,420052500,27140496.0
World,OWID_WRL,2018,30927352.0,65312556.0,77681256,168317890.0,441055140,28747704.0
World,OWID_WRL,2019,32829024.0,67295010.0,79329670,173837390.0,459746020,30408748.0
